symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2024-03-08 06:00:00+00:00,66997.61,70152.385,66188.74,68366.015,5.048351735,250.0,68524.6013227615
BTC/USD,2024-03-09 06:00:00+00:00,68378.55,69797.147,68111.335,69462.153,0.457743586,95.0,68792.8252155611
BTC/USD,2024-03-10 06:00:00+00:00,69471.659,70013.95,67151.935,68562.0845,1.968419665,97.0,69074.0681871603
BTC/USD,2024-03-11 05:00:00+00:00,68610.1025,72912.6,68522.12,71848.379,5.033476259,445.0,71643.2110389918
BTC/USD,2024-03-12 05:00:00+00:00,71775.7855,73103.65,68708.6555,72212.0568010075,3.457151467,235.0,71582.7339122997
BTC/USD,2024-03-13 05:00:00+00:00,72196.9068010075,73692.6,71716.2835,73015.387,1.673757762,979.0,73112.7875054312
BTC/USD,2024-03-14 05:00:00+00:00,73047.7,73793.67,66729.760930521,67444.5205,6.116531167,1146.0,69910.9446542753
BTC/USD,2024-03-15 05:00:00+00:00,67407.426,70626.35,65599.46,69005.623,8.522707231,452.0,68384.0034823299
BTC/USD,2024-03-16 05:00:00+00:00,69047.005,69443.135,64779.708,66371.8005,1.543534542,802.0,67829.9442678465
BTC/USD,2024-03-17 05:00:00+00:00,66365.4435,68869.2165,64533.489516129,68336.5,2.710817743,184.0,67198.5135321177
BTC/USD,2024-03-18 05:00:00+00:00,68326.05,68917.15,64874.483,65398.161,2.601948269,284.0,66346.9904232038
BTC/USD,2024-03-19 05:00:00+00:00,65387.5755,65758.155,61107.8095,61681.6465,7.768646539,926.0,63425.6529429453
BTC/USD,2024-03-20 05:00:00+00:00,61679.7975,68208.605,60808.37,66756.72,4.708868009,159.0,65340.5832223657
BTC/USD,2024-03-21 05:00:00+00:00,66710.736,67665.286,64560.494,66210.35,3.740581279,139.0,66507.3993459101
BTC/USD,2024-03-22 05:00:00+00:00,66125.325,66656.749,62345.105,63907.85,4.093037581,939.0,63593.1434138272
BTC/USD,2024-03-23 05:00:00+00:00,63902.412,66002.785,63757.405,64217.57,0.361219766,55.0,65108.2502166525
BTC/USD,2024-03-24 05:00:00+00:00,64214.8715,67643.811,64050.23,67489.85,0.589755526,42.0,65790.9491018922
BTC/USD,2024-03-25 05:00:00+00:00,67561.677,71240.7,66768.4015,70588.65,9.681987033,248.0,69593.1704599065
BTC/USD,2024-03-26 05:00:00+00:00,70579.1295,71536.5119647355,69350.976,70160.7395,1.341993765,178.0,70744.2043754527
BTC/USD,2024-03-27 05:00:00+00:00,70227.3745,71732.4905,68366.3355,69638.516,4.17283761,346.0,69055.0069913763
BTC/USD,2024-03-28 05:00:00+00:00,69702.76,71591.034,69580.105,70351.035,6.402450885,470.0,70893.6385677488
BTC/USD,2024-03-29 05:00:00+00:00,70408.15,70634.97,69077.2005,70114.625,0.548823228,162.0,70068.7363535495
BTC/USD,2024-03-30 05:00:00+00:00,70158.6415,70366.75,69581.99,70139.1135,0.141751686,42.0,69876.3169683411
BTC/USD,2024-03-31 05:00:00+00:00,70113.9305,71331.356297229,70105.59,70494.605,0.806793729,58.0,70600.871567802
BTC/USD,2024-04-01 05:00:00+00:00,70483.265,70512.84,66066.6,66696.1,3.330243529,210.0,68640.7477575879
BTC/USD,2024-04-02 05:00:00+00:00,66702.8,67171.265,64458.518,66337.915,25.747100059,266.0,64707.0737518568
BTC/USD,2024-04-03 05:00:00+00:00,66407.395,66949.86,65104.943,65539.605,16.011659766,138.0,65317.5032631401
BTC/USD,2024-04-04 05:00:00+00:00,65461.6895,69342.96,65397.89,67640.8055,9.847211063,338.0,67790.4355567437
